vitamin	food	info
Biotin		
b7		
H		
	INFO	Biotin (a.k.a. Vitamin B7 or Vitamin H): Like the rest of the water-soluble B-complex vitamins, biotin plays a huge role in cell growth and food metabolism . Metabolism is the process by which our bodies covert the food we eat into energy that can then be used to power everything we do, from thinking, to running, to hula-hooping. Deficiency of this vitamin is extremely rare, but overdoing it on raw egg whites has been known to prevent biotin absorption (albeit, in a pretty old study) (we’re looking at you, Rocky)
	WUN	30mcg
	WTM	Not determined
	Cooked salmon	4-5 mcg per 3 ounces
	whole grains	0.02-6mgc pre slice of bread
	eggs	13-25 mcg per large egg
	avocados	2-6 mcg per avocado
Calcium		
	INFO	Calcium: Got milk? Guzzle a glassful to get the daily dose of calcium, a macromineral crucial for the healthy development of bones and teeth. But that’s not all — calcium also offers a helping hand in muscle function, blood clotting, nerve signaling, hormone secretion, and blood pressure . And alongside its sidekick, Vitamin D, calcium helps ward off osteoporosis . While getting too much calcium from dietary sources is rare, taking too many calcium supplements may carry some risk for kidney stones formation or heart disease, though the research is inconclusive .
	WUN	1000mg
	WTM	2500mg
	milk	300mg per cup-ice cream counts too!
	yogurt	300mg per cup
	cheddar cheese	303mg per 1.5 ounces
	tofu	258 mg per 1/2 cup
	bok choy	79 mg per 1/2 cup
	spinach	115 mg per 1/2 cup
	rhubarb	174 mg per 1/2 cup
Choline		
	INFO	Choline: Choline, another water-soluble B vitamin, is a building block of the neurotransmitter acetylcholine, which is essential for the nerve and brain activities that control memory and muscle movement. Choline also helps turn the food we eat and our stored energy (hello, love handles) into fuel  . Vegetarians, vegans, pregnant women, and endurance athletes are at greater risk for choline deficiency, which is linked to fatty liver disease, atherosclerosis, neurological disorders, and impaired fetal development . Extremely high doses won’t kill you, but consuming more than 10 grams per day can cause vomiting, increased sweating and salivation, and a fishy body order (and nobody wants that!).
	WUN	Men = 550mg; Woman 425mg
	WTM	3500mg
	eggs	126 mg per egg
	milk	38 mg per cup
	cooked broccoli	62 mg per cup
	cooked brussels sprouts	62 mg per cup
	beef	67 mg per 3 ounces
	milk chocolate	20 mg per 1.5 ounces bar
Chromium		
	INFO	Chromium: You may have chrome wheels, but do you have chromium-dense meals? Though this trace mineral is thought to enhance insulin activity and the breakdown of the sugars that we eat, it’s only needed in small amounts and is not considered “essential” . Though some chromium supplements tout muscle building and weight loss benefits, there is no solid research evidence that backs up the claims . In fact, overconsumption of chromium supplements could cause kidney damage . So shelf the supplement and try an absperiment instead for rock-hard abs.
	WUN	Men = 35 mcg; Women = 25 mcg
	WTM	Not determined
	broccoli	22 mgc per cup
	grape juice	7.5 mcg per cup
	whole wheat waffle	6.7 mcg per waffle
	whole wheat muffins	3.6 mcg per muffin
Copper		
	INFO	Copper: Don’t be penny-pinching with this shiny mineral, which is an essential trace element and antioxidant. Frontline in the creation of red blood cells, copper is also important for proper energy metabolism, immunity, and nervous system function . Though few and far between, copper deficiencies may manifest as anemia, a low white blood cell count, and bone deterioration . While copper toxicity from dietary intake is rare, cases of acute copper poisoning (which leads to some not-so-nice tummy troubles) have occurred due to contaminated water supplies or leaching from copper containers
	WUN	900mcg
	WTM	10000mcg
	liver	4049mcg per ounce
	oyesters	670 mcg per medium oyester
	crab meat	634 per 3 ounces
	nuts	cashews, for example, offer 629 mcg per ounce
	raw_mushrooms	344 mcg per cup
	semisweet chocolate	198 mcg per ounce
Flouride		
	INFO	Fluoride: This non-essential trace mineral helps keep those pearly whites cavity-free and bones less breakable . Before snacking on some toothpaste, know that most tap water in the U.S. is already fluorinated, taking care of those elemental needs.
	WUN	Men = 4mg; Women = 3mg
	WTM	10mg
	grape juice	0.05 - 0.64 mg per cup
	sardines	0.2-0.4 mg per 3.5 ounces
	chicken	0.06-0.10mg per 3.5 ounces
Folic Acid		
folate		
folacin		
	INFO	Folic Acid (a.k.a. folate or folacin): Folic acid is such a key part of our diet that the U.S. government decided to fortify most commercial flour with this water-soluble vitamin. So what’s all the hoopla over folic acid? Well, it’s vital for pregnant women to ensure the baby’s proper development, helping prevent birth defects in the brain and spine  . No baby on board? Folic acid also helps create most all cells in the body and may reduce the risk of heart disease and colon cancer .
	WUN	400 mcg
	WTM	1000 mcg
	fortified grains	200-400 mcg per cup
	fortified cereals	200-400 mcg per cup
	asparagus	143 mcg per 6 spears
	spinach	132 mcg per hulf cup
	orange juice	83 mcg per cup
	lentils	179 per half cup
Iodine		
